"","sender","recver","value","nodelab2","nodelab1"
"2183",1257,1251,14.15,"mahaamba investments ltd","mahamaya investments ltd"
"2184",1257,1253,3.68,"mahagauri investments ltd","mahamaya investments ltd"
"2185",1257,1291,7.96,"mangalya trading investments ltd","mahamaya investments ltd"
"2186",1257,1300,6.92,"maparna investments ltd","mahamaya investments ltd"
"2187",1257,1319,2.08,"matangi investments ltd","mahamaya investments ltd"
"2188",1257,1330,7.9,"mayoga investments ltd","mahamaya investments ltd"
"2189",1258,585,4.17,"enrich finance ltd","mahan industries ltd"
"2190",1258,586,2.67,"enrich financial services pvt ltd","mahan industries ltd"
"2191",1258,614,4.65,"expert technologies consultants pvt ltd","mahan industries ltd"
"2192",1258,710,3.43,"glfl securities ltd","mahan industries ltd"
"2193",1258,795,2.12,"harleen synthetics pvt ltd","mahan industries ltd"
"2194",1258,1110,1.69,"kirit shah securities pvt ltd","mahan industries ltd"
"2195",1258,1304,6.67,"mark leasing finance ltd","mahan industries ltd"
"2196",1258,2733,37.36,"yogendrakumar gupta","mahan industries ltd"
"2197",1260,1073,4.76,"kapish packaging pvt ltd","maharashtra overseas ltd"
"2198",1260,1088,2.67,"keemati trading pvt ltd","maharashtra overseas ltd"
"2199",1260,1843,4.6,"rashel agrotech ltd","maharashtra overseas ltd"
"2200",1260,1970,4.89,"sadhana securities pvt ltd","maharashtra overseas ltd"
"2201",1260,2041,4.56,"satyakunj investment pvt ltd","maharashtra overseas ltd"
"2202",1260,2097,4.49,"shalimar agro products ltd","maharashtra overseas ltd"
"2203",1260,2417,2.67,"t c kothari","maharashtra overseas ltd"
"2204",1261,1065,2.78,"kangra valley investment finance company ltd","maharashtra polybutenes ltd"
"2205",1261,2187,3,"silent valley investments ltd","maharashtra polybutenes ltd"
"2206",1262,234,24,"bajaj auto ltd","maharashtra scooters ltd"
"2207",1262,2705,27,"western maharashtra development corporation ltd","maharashtra scooters ltd"
"2208",1263,351,7.72,"brahma dev holding trading ltd","maharashtra seamless ltd"
"2209",1263,711,7.81,"global jindal fin invest ltd","maharashtra seamless ltd"
"2210",1263,1005,4.53,"jindal drilling inds. ltd","maharashtra seamless ltd"
"2211",1263,1010,16.83,"jindal pipes ltd","maharashtra seamless ltd"
"2212",1263,2287,14.31,"stable trading company ltd","maharashtra seamless ltd"
"2213",1263,2324,12.05,"sudha apparels ltd","maharashtra seamless ltd"
"2214",1264,1647,5,"pavapuri capital finance ltd","mahavir impex ltd"
"2215",1264,1654,5,"pentium infotech ltd","mahavir impex ltd"
"2216",1272,220,1.2,"azarael investments ltd","mahindra mahindra ltd"
"2217",1272,449,4.12,"corbel estate investments pvt ltd","mahindra mahindra ltd"
"2218",1272,559,1.32,"elation investment pvt ltd","mahindra mahindra ltd"
"2219",1272,651,5.15,"ford motor company ltd","mahindra mahindra ltd"
"2220",1272,1883,2.85,"ridge investment company pvt ltd","mahindra mahindra ltd"
"2221",1274,1272,49.28,"mahindra mahindra ltd","mahindra ugine steel co. ltd"
"2222",1278,860,20.88,"hyderabad industries ltd","malabar building products ltd"
"2223",1278,1093,27.23,"kerala state industrial development corporation ltd","malabar building products ltd"
"2224",1283,1057,3.1,"kamal trading company ltd","malwa cotton spg. mills ltd"
"2225",1283,1430,4.47,"nagdevi trading investment company pvt. ltd","malwa cotton spg. mills ltd"
"2226",1283,1743,5.38,"prudential commercial enterprises ltd","malwa cotton spg. mills ltd"
"2227",1283,1755,1.6,"punjab woolcombers ltd","malwa cotton spg. mills ltd"
"2228",1285,2263,38.29,"spic ltd","manali petrochemical ltd"
"2229",1288,426,74.43,"chowgule co ltd","mandovi pellets ltd [merged]"
"2230",1289,396,4.15,"century textiles inds. ltd","mangalam timber products ltd"
"2231",1289,1095,5.46,"kesoram industries ltd","mangalam timber products ltd"
"2232",1289,1103,2.54,"kicm investments ltd","mangalam timber products ltd"
"2233",1290,1334,5.93,"mcdowell company ltd","mangalore chemicals fertilizers ltd"
"2234",1290,2548,16.88,"united breweries (holdings) ltd","mangalore chemicals fertilizers ltd"
"2235",1290,2549,7.63,"united breweries ltd","mangalore chemicals fertilizers ltd"
"2236",1301,603,5.09,"essay marketing company ltd","maral overseas ltd"
"2237",1301,809,14.32,"heg ltd","maral overseas ltd"
"2238",1301,1199,3.9,"lnj financial services ltd","maral overseas ltd"
"2239",1301,1802,7.35,"rajasthan spinning weaving mills ltd","maral overseas ltd"
"2240",1301,2123,3.1,"shashi agarwal","maral overseas ltd"
"2241",1302,1674,2.5,"pnc capital trust ltd","marigold glass inds. ltd"
"2242",1306,598,7.78,"essar investments ltd","marmagoa steel ltd"
"2243",1307,8,2.3,"a p electricals pvt ltd","marsons ltd"
"2244",1307,53,2.35,"akhilesh kotia","marsons ltd"
"2245",1307,198,1.25,"atn international ltd","marsons ltd"
"2246",1307,276,1.29,"bhagyangar securities pvt ltd","marsons ltd"
"2247",1307,437,2.84,"cms infotech ltd","marsons ltd"
"2248",1307,775,3.32,"gyan chand kotia","marsons ltd"
"2249",1307,1298,2.08,"mantra online ltd","marsons ltd"
"2250",1307,1310,11.26,"marsons finance ltd","marsons ltd"
"2251",1307,1509,2.86,"nikhilesh kotia","marsons ltd"
"2252",1307,1706,2.42,"pravin jain","marsons ltd"
"2253",1307,2188,2.08,"silicon valley infotech ltd","marsons ltd"
"2254",1307,2192,1.25,"silverson tracom pvt ltd","marsons ltd"
"2255",1307,2212,1.39,"smp exports pvt ltd","marsons ltd"
"2256",1307,2400,5.6,"swarn rekha properties finance ltd","marsons ltd"
"2257",1308,8,2.98,"a p electricals pvt ltd","marsons power infrastructure devp. ltd"
"2258",1308,53,1.07,"akhilesh kotia","marsons power infrastructure devp. ltd"
"2259",1308,775,1.33,"gyan chand kotia","marsons power infrastructure devp. ltd"
"2260",1308,1307,6.67,"marsons ltd","marsons power infrastructure devp. ltd"
"2261",1308,1509,1.07,"nikhilesh kotia","marsons power infrastructure devp. ltd"
"2262",1308,2402,17.66,"swarnarekha properties finance ltd","marsons power infrastructure devp. ltd"
"2263",1309,1307,10.43,"marsons ltd","marsons textiles ltd"
"2264",1309,1308,16.69,"marsons power infrastructure devp. ltd","marsons textiles ltd"
"2265",1309,2402,4.07,"swarnarekha properties finance ltd","marsons textiles ltd"
"2266",1313,1178,6.57,"laxmi kumar saboo","marvel capital finance (india) ltd"
"2267",1313,1179,8.67,"laxmi saboo","marvel capital finance (india) ltd"
"2268",1313,1983,6.32,"saikripa polysacks pvt ltd","marvel capital finance (india) ltd"
"2269",1313,2101,2.7,"shalini saboo","marvel capital finance (india) ltd"
"2270",1313,2638,10.47,"vikram saboo","marvel capital finance (india) ltd"
"2271",1314,234,6.77,"bajaj auto ltd","marvel industries ltd"
"2272",1314,838,1.13,"hindustan finvest ltd","marvel industries ltd"
"2273",1314,1178,1.63,"laxmi kumar saboo","marvel industries ltd"
"2274",1314,1179,1.16,"laxmi saboo","marvel industries ltd"
"2275",1314,1983,8.9,"saikripa polysacks pvt ltd","marvel industries ltd"
"2276",1314,2101,6.78,"shalini saboo","marvel industries ltd"
"2277",1314,2638,2.6,"vikram saboo","marvel industries ltd"
"2278",1315,714,4.58,"global trust bank ltd [merged]","mascon global ltd"
"2279",1315,912,1.01,"indusind bank ltd","mascon global ltd"
"2280",1315,1619,6.02,"panther finacap management services ltd","mascon global ltd"
"2281",1316,2732,4.14,"yatish trading company pvt ltd","mastek ltd"
"2282",1317,1978,35.06,"sahara india commercial corporation ltd","master chemicals ltd"
"2283",1318,277,2.68,"bhagyashree leasing finance ltd","master trust ltd"
"2284",1318,1887,5.79,"ritesh industries ltd","master trust ltd"
"2285",1324,345,6.7,"boom investments pvt ltd","max india ltd"
"2286",1324,417,7.66,"cheminvest ltd","max india ltd"
"2287",1324,1194,6.89,"liquid investment trading company pvt ltd","max india ltd"
"2288",1324,1325,6.17,"max opp investment ltd","max india ltd"
"2289",1324,1335,7.59,"medicare investment ltd","max india ltd"
"2290",1324,1373,8.75,"mohair investments trading company pvt ltd","max india ltd"
"2291",1324,1604,1.39,"p v t investment ltd","max india ltd"
"2292",1324,1652,1.48,"pen investment ltd","max india ltd"
"2293",1324,1670,1.83,"pivet finances ltd","max india ltd"
"2294",1336,2170,6.39,"shriram capital trust pvt ltd","medicorp technologies india ltd [merged]"
"2295",1336,2171,9.3,"shriram investments ltd [merged]","medicorp technologies india ltd [merged]"
"2296",1336,2172,9.3,"shriram transport finance co. ltd","medicorp technologies india ltd [merged]"
"2297",1344,315,2.53,"birla century finance ltd","melstar information technologies ltd"
"2298",1344,1326,1.08,"maya trade links ltd","melstar information technologies ltd"
"2299",1344,2539,5.74,"umil share stock broking services ltd","melstar information technologies ltd"
"2300",1344,2570,6.66,"usha martin ventures ltd","melstar information technologies ltd"
"2301",1345,1079,1.61,"karveer investments pvt ltd","menon bearings ltd"
"2302",1345,1346,1.61,"menon metals alloys pvt ltd","menon bearings ltd"
"2303",1345,1527,4.38,"nitin r menon","menon bearings ltd"
"2304",1345,1784,6.21,"radhamani r menon","menon bearings ltd"
"2305",1345,1968,5.51,"sachin menon","menon bearings ltd"
"2306",1345,2035,1.07,"satish c menon","menon bearings ltd"
"2307",1345,2050,8.3,"savita s gopi","menon bearings ltd"
"2308",1347,654,4.92,"fortis financial services ltd","menon pistons ltd"
"2309",1347,1079,7.03,"karveer investments pvt ltd","menon pistons ltd"
"2310",1347,1346,7.03,"menon metals alloys pvt ltd","menon pistons ltd"
"2311",1347,1361,2.46,"mirc electronics ltd","menon pistons ltd"
"2312",1347,1527,5.42,"nitin r menon","menon pistons ltd"
"2313",1347,1664,1.23,"pidilite industries ltd","menon pistons ltd"
"2314",1347,1784,8.79,"radhamani r menon","menon pistons ltd"
"2315",1347,1968,5.8,"sachin menon","menon pistons ltd"
"2316",1347,2035,4.47,"satish c menon","menon pistons ltd"
"2317",1347,2050,5.04,"savita s gopi","menon pistons ltd"
"2318",1347,2619,2.46,"videocon appliances ltd","menon pistons ltd"
"2319",1348,2686,1.02,"warren tea ltd","metal coatings (india) ltd"
"2320",1350,1122,4.63,"konica equity services pvt ltd","mewar industries ltd"
"2321",1356,1753,24.88,"punjab state industrial development corporation ltd","milk specialities ltd"
"2322",1357,864,2.28,"i c i c i ltd [merged]","millennium beer inds. ltd"
"2323",1357,2548,40.93,"united breweries (holdings) ltd","millennium beer inds. ltd"
"2324",1359,1878,1.88,"richfield financial services ltd","minolta finance ltd"
"2325",1362,219,1.04,"azad finance trading investment ltd","mittal securities finance ltd"
"2326",1362,1102,1.49,"khem-sum apparels overseas ltd","mittal securities finance ltd"
"2327",1362,2565,17.51,"usha credits pvt ltd","mittal securities finance ltd"
"2328",1363,1112,4.66,"kirloskar electric company ltd","miven machine tools ltd"
"2329",1363,1115,3.33,"kirloskar oil engines ltd","miven machine tools ltd"
"2330",1363,1882,1,"ridge business centre pvt ltd","miven machine tools ltd"
"2331",1365,64,4.16,"alcyone trading company pvt ltd","modern india ltd"
"2332",1365,374,4.16,"camellia mercantile pvt ltd","modern india ltd"
"2333",1365,379,4.16,"candescent traders pvt ltd","modern india ltd"
"2334",1365,691,1.5,"gauri jatia","modern india ltd"
"2335",1365,875,4.16,"ignatius trading company pvt ltd","modern india ltd"
"2336",1365,1252,4.13,"mahabir prasad jatia","modern india ltd"
"2337",1365,1745,14.65,"pudumjee investment finance company ltd","modern india ltd"
"2338",1365,1746,1.82,"pudumjee pulp paper mills ltd","modern india ltd"
"2339",1365,2606,1,"vedant jatia","modern india ltd"
"2340",1365,2632,6.24,"vijay kumar jatia","modern india ltd"
"2341",1367,1327,12.86,"mayank credits pvt ltd","modi hoover international ltd"
"2342",1367,1368,2.09,"modi overseas investment pvt ltd","modi hoover international ltd"
"2343",1367,1624,15.7,"paradise credits pvt ltd","modi hoover international ltd"
"2344",1367,2576,1.05,"v b desai financial services ltd","modi hoover international ltd"
"2345",1369,1554,2.21,"om prakash modi","modison metals ltd"
"2346",1369,1813,6.55,"rajkumar modi","modison metals ltd"
"2347",1375,2526,1.33,"twentyfirst century management services ltd","mold-tek technologies ltd"
"2348",1380,1560,42.66,"onida credit investment ltd","monica electronics ltd"
"2349",1381,1025,10.28,"jusal trading pvt ltd","monnet ispat energy ltd"
"2350",1381,2367,3.7,"superior financial consultancy services pvt ltd","monnet ispat energy ltd"
"2351",1381,2377,3.83,"surendra kumar sethi","monnet ispat energy ltd"
"2352",1381,2410,3.13,"systematik finvest pvt ltd","monnet ispat energy ltd"
"2353",1381,2597,10.7,"varij sethi","monnet ispat energy ltd"
"2354",1382,709,15.51,"gleam trading investment pvt ltd","monotona securities ltd"
"2355",1382,2393,17.03,"suvijay exports ltd","monotona securities ltd"
"2356",1382,2485,16.31,"tiara trading investment pvt ltd","monotona securities ltd"
"2357",1382,2506,8.29,"transoceanic properties ltd","monotona securities ltd"
"2358",1383,715,5.57,"globex financial services ltd","monozyme india ltd"
"2359",1383,1742,1.43,"prudential capital markets ltd","monozyme india ltd"
"2360",1386,1720,1.85,"pressman ltd","morarka finance ltd"
"2361",1391,577,1.03,"emerging securities pvt ltd","motherson sumi systems ltd"
"2362",1391,1038,2.07,"k l sehgal","motherson sumi systems ltd"
"2363",1391,1388,18.59,"motherson auto pvt ltd","motherson sumi systems ltd"
"2364",1391,1389,2.16,"motherson leasing industrial finance ltd","motherson sumi systems ltd"
"2365",1391,1390,5.48,"motherson sehgal cables","motherson sumi systems ltd"
"2366",1391,2052,1.92,"savla motor agencies pvt ltd","motherson sumi systems ltd"
"2367",1391,2517,3.96,"trupti petroleums pvt ltd","motherson sumi systems ltd"
"2368",1391,2578,2.11,"v c sehgal","motherson sumi systems ltd"
"2369",1391,2586,1.61,"vaaman auto industries","motherson sumi systems ltd"
"2370",1392,1392,8.27,"mount shivalik breweries ltd","mount shivalik breweries ltd"
"2371",1392,1835,1.62,"ranbaxy holding company","mount shivalik breweries ltd"
"2372",1393,1566,1.37,"optimates finvest pvt ltd","movilex irrigation ltd"
"2373",1394,15,2.92,"a-one management services pvt ltd","mrugesh trading ltd"
"2374",1394,278,10,"bhairav enterprises ltd","mrugesh trading ltd"
"2375",1394,418,3.51,"chemurjy estates pvt ltd","mrugesh trading ltd"
"2376",1394,769,10,"gulshan investments company ltd","mrugesh trading ltd"
"2377",1394,1209,9.8,"lynx machinery commercials ltd","mrugesh trading ltd"
"2378",1394,1798,10,"rajan enterprises pvt ltd","mrugesh trading ltd"
"2379",1394,1885,10,"rishabh enterprises ltd","mrugesh trading ltd"
"2380",1394,2166,10,"shri gurudev en trade ltd","mrugesh trading ltd"
"2381",1394,2666,10,"vishvprabha trading ltd","mrugesh trading ltd"
"2382",1394,2683,9.8,"warden international (agencies) pvt ltd","mrugesh trading ltd"
"2383",1395,88,2.38,"amrit sales promotion pvt ltd","mukand engineers ltd"
"2384",1395,234,9.53,"bajaj auto ltd","mukand engineers ltd"
"2385",1395,337,1.19,"bmd financial services pvt ltd","mukand engineers ltd"
"2386",1395,554,1.59,"econium investment finance ltd","mukand engineers ltd"
"2387",1395,1127,1.73,"kotak securities ltd","mukand engineers ltd"
"2388",1395,1396,36.05,"mukand ltd","mukand engineers ltd"
"2389",1395,1730,1.81,"primus investment finance ltd","mukand engineers ltd"
"2390",1395,2727,2.38,"yashodham merchants pvt ltd","mukand engineers ltd"
"2391",1396,229,2.26,"bachraj company ltd","mukand ltd"
"2392",1396,234,3.49,"bajaj auto ltd","mukand ltd"
"2393",1396,554,1.81,"econium investment finance ltd","mukand ltd"
"2394",1396,1126,1.78,"kotak mahindra finance ltd","mukand ltd"
"2395",1396,1127,2.93,"kotak securities ltd","mukand ltd"
"2396",1396,1730,1.75,"primus investment finance ltd","mukand ltd"
"2397",1398,1337,13.63,"meena mukesh","mukesh babu financial services ltd"
"2398",1398,1399,49.23,"mukesh c babu","mukesh babu financial services ltd"
"2399",1398,1976,9.31,"sagar systech ltd","mukesh babu financial services ltd"
"2400",1404,582,7.09,"enam securities pvt ltd","munjal showa ltd"
"2401",1404,815,16.5,"hero cycles ltd","munjal showa ltd"
"2402",1404,1566,1.66,"optimates finvest pvt ltd","munjal showa ltd"
"2403",1405,282,1.52,"bharart munoth","munoth communication ltd"
"2404",1405,399,2.08,"cfl capital financial services ltd","munoth communication ltd"
"2405",1405,859,1.7,"hulta pharmaceutical export ltd","munoth communication ltd"
"2406",1405,971,1.59,"jaisal securities ltd","munoth communication ltd"
"2407",1405,981,2.67,"jaswant munoth","munoth communication ltd"
"2408",1405,1150,1.52,"kumbhat financial services ltd","munoth communication ltd"
"2409",1405,1169,1.24,"lalchand munoth","munoth communication ltd"
"2410",1405,1187,1.52,"leela devi","munoth communication ltd"
"2411",1405,1406,7.09,"munoth financial services ltd","munoth communication ltd"
"2412",1406,282,10.96,"bharart munoth","munoth financial services ltd"
"2413",1406,981,11.88,"jaswant munoth","munoth financial services ltd"
"2414",1406,1169,9.61,"lalchand munoth","munoth financial services ltd"
"2415",1406,1187,2.97,"leela devi","munoth financial services ltd"
"2416",1406,1407,17.53,"munoth investments ltd","munoth financial services ltd"
"2417",1410,1141,9.33,"ksiidc ltd","murudeshwar ceramics ltd"
"2418",1412,318,1.18,"birla education trust","mysore cements ltd"
"2419",1412,323,11.41,"birla v x l ltd","mysore cements ltd"
"2420",1412,977,4.55,"janardhan trading company ltd","mysore cements ltd"
"2421",1412,1496,7.28,"nesher israel cement enterprises ltd","mysore cements ltd"
"2422",1412,1665,3.87,"pilani investment industries corporation ltd","mysore cements ltd"
"2423",1412,2707,1.23,"western projects ltd","mysore cements ltd"
"2424",1413,714,9.24,"global trust bank ltd [merged]","n c l industries ltd"
"2425",1414,1561,1.75,"onida finance ltd","n d a securities ltd"
"2426",1414,1835,3.03,"ranbaxy holding company","n d a securities ltd"
"2427",1416,52,24.04,"akg finvest ltd","n g industries ltd"
"2428",1420,239,1.65,"bakelite hylam ltd","n r c ltd"
"2429",1420,268,2.64,"bervin investment leasing ltd","n r c ltd"
"2430",1420,474,7.21,"dail investments ltd","n r c ltd"
"2431",1420,542,32.26,"duncans industries ltd","n r c ltd"
"2432",1420,1065,3.55,"kangra valley investment finance company ltd","n r c ltd"
"2433",1420,1922,1.19,"s g investments industries ltd","n r c ltd"
"2434",1420,2187,1.08,"silent valley investments ltd","n r c ltd"
"2435",1420,2295,1.15,"star paper mills ltd","n r c ltd"
"2436",1420,2312,2.09,"stone india ltd","n r c ltd"
"2437",1427,41,10.23,"agarsar commerce ltd","nachmo knitex ltd"
"2438",1427,1026,1.86,"jutex international ltd","nachmo knitex ltd"
"2439",1427,1918,1.65,"s c bagrodia","nachmo knitex ltd"
"2440",1427,2042,9.84,"satyam combines pvt ltd","nachmo knitex ltd"
"2441",1427,2133,9.79,"shell business pvt ltd","nachmo knitex ltd"
"2442",1427,2179,9.74,"shubh combines pvt ltd","nachmo knitex ltd"
"2443",1427,2224,4.67,"soil products india ltd","nachmo knitex ltd"
"2444",1427,2533,3.4,"uday commercial pvt ltd","nachmo knitex ltd"
"2445",1427,2673,6.17,"vogue commercial company ltd","nachmo knitex ltd"
"2446",1434,954,1.07,"j l growth fund pvt ltd","nahar exports ltd"
"2447",1434,1436,3.31,"nahar industrial enterprises ltd","nahar exports ltd"
"2448",1434,1437,5.52,"nahar international ltd [merged]","nahar exports ltd"
"2449",1434,1438,37.91,"nahar spinning mills ltd","nahar exports ltd"
"2450",1434,2018,1.13,"sankheshwar holding company ltd","nahar exports ltd"
"2451",1436,119,1.35,"annedale investment pvt ltd","nahar industrial enterprises ltd"
"2452",1436,787,1.72,"har sai investments ltd","nahar industrial enterprises ltd"
"2453",1436,850,1.47,"honanu investment trading pvt ltd","nahar industrial enterprises ltd"
"2454",1436,954,1.91,"j l growth fund pvt ltd","nahar industrial enterprises ltd"
"2455",1436,1132,2.64,"kovalam investment trading co. ltd","nahar industrial enterprises ltd"
"2456",1436,1149,1.45,"kulu investment trading pvt ltd","nahar industrial enterprises ltd"
"2457",1436,1435,4.39,"nahar financial investment ltd","nahar industrial enterprises ltd"
"2458",1436,1437,11.93,"nahar international ltd [merged]","nahar industrial enterprises ltd"
"2459",1436,1438,10.81,"nahar spinning mills ltd","nahar industrial enterprises ltd"
"2460",1436,1439,7.53,"nahar sugar allied inds. ltd [merged]","nahar industrial enterprises ltd"
"2461",1436,2018,2.56,"sankheshwar holding company ltd","nahar industrial enterprises ltd"
"2462",1436,2427,1.11,"tahira investment pvt ltd","nahar industrial enterprises ltd"
"2463",1437,777,1.44,"h b stock holdings ltd","nahar international ltd [merged]"
"2464",1437,787,4.72,"har sai investments ltd","nahar international ltd [merged]"
"2465",1437,954,1.84,"j l growth fund pvt ltd","nahar international ltd [merged]"
"2466",1437,1434,2.65,"nahar exports ltd","nahar international ltd [merged]"
"2467",1437,1436,9.88,"nahar industrial enterprises ltd","nahar international ltd [merged]"
"2468",1437,1438,19.8,"nahar spinning mills ltd","nahar international ltd [merged]"
"2469",1437,1439,2.5,"nahar sugar allied inds. ltd [merged]","nahar international ltd [merged]"
"2470",1437,1587,9.23,"oswal wollen mills ltd","nahar international ltd [merged]"
"2471",1439,1434,1.59,"nahar exports ltd","nahar sugar allied inds. ltd [merged]"
"2472",1439,1436,20.38,"nahar industrial enterprises ltd","nahar sugar allied inds. ltd [merged]"
"2473",1439,1437,16.11,"nahar international ltd [merged]","nahar sugar allied inds. ltd [merged]"
"2474",1439,1438,16.41,"nahar spinning mills ltd","nahar sugar allied inds. ltd [merged]"
"2475",1441,484,22.94,"darshan investment pvt ltd","nakoda textile inds. ltd"
"2476",1445,441,2.21,"colorado trading company ltd","nalwa sons invsts. ltd"
"2477",1445,608,1.22,"everplus securities finance ltd","nalwa sons invsts. ltd"
"2478",1445,679,2.6,"gagan trading company ltd","nalwa sons invsts. ltd"
"2479",1445,727,1.08,"goswani credit investments ltd","nalwa sons invsts. ltd"
"2480",1445,817,2.45,"hexa securities finance ltd","nalwa sons invsts. ltd"
"2481",1445,1006,6.06,"jindal equipment leasing consultancy services ltd","nalwa sons invsts. ltd"
"2482",1445,1011,2.77,"jindal saw ltd","nalwa sons invsts. ltd"
"2483",1445,1293,1.36,"manjula finances ltd","nalwa sons invsts. ltd"
"2484",1445,1297,4.02,"mansarover investments ltd","nalwa sons invsts. ltd"
"2485",1445,1444,1.26,"nalwa investment ltd","nalwa sons invsts. ltd"
"2486",1445,1874,2.47,"renuka financial services ltd","nalwa sons invsts. ltd"
"2487",1445,2054,2.77,"saw pipes ltd","nalwa sons invsts. ltd"
"2488",1445,2288,1.53,"stainless investments ltd","nalwa sons invsts. ltd"
"2489",1445,2340,13,"sun investments ltd","nalwa sons invsts. ltd"
"2490",1445,2679,2.06,"vrindavan services pvt ltd","nalwa sons invsts. ltd"
"2491",1448,832,3.38,"hinduja finance corporation ltd","namaste exports ltd"
"2492",1450,624,1.35,"fairgrowth financial services ltd","namtech electronic devices ltd"
"2493",1450,2450,3.67,"tata industries ltd","namtech electronic devices ltd"
"2494",1450,2624,2.11,"videocon leasing industrial finance ltd","namtech electronic devices ltd"
"2495",1454,801,10.57,"haryana state industrial development corporation ltd","naraingarh sugar mills ltd"
"2496",1463,1173,96.91,"larsen toubro ltd","narmada cement co. ltd"
"2497",1464,757,56.45,"gujarat narmada valley fertilizers co. ltd","narmada chematur petrochemicals ltd"
"2498",1468,2614,3.43,"vibhadeep investment trading ltd","national organic chemical inds. ltd"
"2499",1469,87,1.99,"amrit petroleums pvt ltd","national peroxide ltd"
"2500",1469,143,4.96,"archway investment company ltd","national peroxide ltd"
"2501",1469,1540,5.58,"nowrosjee wadia sons ltd","national peroxide ltd"
"2502",1470,141,2.16,"arandi investment pvt ltd","national steel agro inds. ltd"
"2503",1470,1097,9.15,"kewal india ltd","national steel agro inds. ltd"
"2504",1470,1910,2.71,"ruchi soya industries ltd","national steel agro inds. ltd"
"2505",1470,2265,1.65,"spider impex pvt ltd","national steel agro inds. ltd"
"2506",1470,2641,1.09,"viksit engineering ltd","national steel agro inds. ltd"
"2507",1471,542,17.42,"duncans industries ltd","national-standard duncan ltd"
"2508",1471,1065,14.17,"kangra valley investment finance company ltd","national-standard duncan ltd"
"2509",1471,1922,1.03,"s g investments industries ltd","national-standard duncan ltd"
"2510",1477,1243,2.95,"mafatlal dyes chemicals ltd","navinon ltd"
"2511",1477,1253,3.38,"mahagauri investments ltd","navinon ltd"
"2512",1477,1257,13.65,"mahamaya investments ltd","navinon ltd"
"2513",1477,1330,8.89,"mayoga investments ltd","navinon ltd"
"2514",1481,2052,2.57,"savla motor agencies pvt ltd","navneet publications (india) ltd"
"2515",1486,765,7.92,"gulecha investment trading company pvt ltd","neena consultants ltd"
"2516",1486,1100,1.67,"khambhat investment trading company pvt ltd","neena consultants ltd"
"2517",1486,1102,8.33,"khem-sum apparels overseas ltd","neena consultants ltd"
"2518",1486,1842,7.92,"rapport investment trading company pvt ltd","neena consultants ltd"
"2519",1494,39,1.38,"aftab investments ltd","nelco ltd"
"2520",1494,2456,48.64,"tata power co. ltd","nelco ltd"
"2521",1495,133,4.8,"anytime finance pvt ltd","neotech solutions securities ltd"
"2522",1495,493,4.8,"delight securities pvt ltd","neotech solutions securities ltd"
"2523",1495,506,9.17,"dewan tyres ltd","neotech solutions securities ltd"
"2524",1495,622,4.42,"faircom ssecurities pvt ltd","neotech solutions securities ltd"
"2525",1495,946,4.8,"ivory coast securities ltd","neotech solutions securities ltd"
"2526",1495,1186,6.54,"leading securities pvt ltd","neotech solutions securities ltd"
"2527",1495,1593,5.4,"p k capitals pvt ltd","neotech solutions securities ltd"
"2528",1495,1768,4.8,"r j financers pvt ltd","neotech solutions securities ltd"
"2529",1495,1816,1.82,"rajshree structures pvt ltd","neotech solutions securities ltd"
"2530",1495,2055,5.67,"sawan financers pvt ltd","neotech solutions securities ltd"
"2531",1495,2203,4.8,"siromani securities pvt ltd","neotech solutions securities ltd"
"2532",1495,2565,29.36,"usha credits pvt ltd","neotech solutions securities ltd"
"2533",1495,2628,5.63,"vigilent securities pvt ltd","neotech solutions securities ltd"
"2534",1498,786,9.09,"hanuman securities pvt ltd","networth stock broking ltd"
"2535",1498,997,4.72,"jbf finance ltd","networth stock broking ltd"
"2536",1498,1071,1.12,"kanta s jain","networth stock broking ltd"
"2537",1498,1944,42.11,"s p jain1","networth stock broking ltd"
"2538",1498,2010,1.01,"sanjay bhandari","networth stock broking ltd"
"2539",1498,2168,9.09,"shrikant g mantri","networth stock broking ltd"
"2540",1498,2254,5.45,"sowcar investment trading company ltd","networth stock broking ltd"
"2541",1498,2629,3.94,"vijay bhandari","networth stock broking ltd"
"2542",1501,358,4.91,"budh holding trading company pvt ltd","new horizon leasing finance ltd"
"2543",1501,461,3.51,"cumulative investment trading company pvt ltd","new horizon leasing finance ltd"
"2544",1501,498,2,"desai investments pvt ltd","new horizon leasing finance ltd"
"2545",1501,732,2,"grant holding trading company pvt ltd","new horizon leasing finance ltd"
"2546",1501,1303,3.51,"marine drive investment trading company pvt ltd","new horizon leasing finance ltd"
"2547",1501,1323,2,"matunga investment trading company pvt ltd","new horizon leasing finance ltd"
"2548",1503,1502,25,"nicco corporation ltd","nicco parks resorts ltd"
"2549",1503,2501,2.14,"tourism finance corpn. of india ltd","nicco parks resorts ltd"
"2550",1503,2702,12.93,"west bengal industrial development corporation ltd","nicco parks resorts ltd"
"2551",1504,723,1.94,"goodricke group ltd","nicco uco alliance credit ltd"
"2552",1504,1502,17.58,"nicco corporation ltd","nicco uco alliance credit ltd"
"2553",1510,2457,49.63,"tata refractories ltd","nilachal refractories ltd"
"2554",1514,725,8.18,"gopal kumar jiwarajka","nippo batteries co. ltd"
"2555",1514,1709,1.27,"preetha investments pvt ltd","nippo batteries co. ltd"
